year,01,02,03,04,05,06,07,08,09,10,11,12
2002,47.4,114.9,62.9,54.0,79.1,70.9,116.2,119.8,58.4,108.9,114.5,71.2
2003,82.8,21.0,27.4,36.6,66.0,51.9,68.0,33.1,52.8,74.1,38.8,55.7
2004,109.4,51.3,37.6,40.1,72.3,72.6,104.0,89.2,64.3,53.3,72.8,45.1
2005,71.0,67.7,44.0,57.0,84.5,53.3,110.0,83.7,56.3,40.3,48.1,69.4
2006,26.7,54.4,84.1,66.2,94.5,47.2,49.5,135.8,30.3,59.1,55.5,46.7
2007,98.2,75.8,63.3,4.0,131.1,108.6,121.3,95.0,97.4,26.4,85.3,63.1
2008,74.0,45.3,86.9,80.2,30.2,59.1,88.6,87.6,57.1,76.2,44.7,48.5
2009,33.2,62.1,77.7,30.3,76.0,85.1,107.6,42.5,41.6,79.4,93.0,84.2
2010,46.8,48.5,52.2,20.8,103.3,49.4,81.5,161.6,82.7,35.8,96.9,89.1
2011,63.8,30.5,20.4,25.0,44.1,89.9,124.0,97.0,58.6,53.1,2.4,124.1
2012,105.1,25.0,14.9,42.7,52.8,97.1,99.0,64.7,49.0,60.7,58.5,98.0
2013,64.4,51.1,33.4,39.9,128.2,91.8,38.9,56.4,83.4,77.8,72.1,41.2
2014,44.9,32.1,18.6,42.4,90.4,51.4,126.6,97.2,54.5,63.7,29.7,75.5
2015,85.4,22.3,55.5,41.4,51.7,57.5,72.2,74.8,56.3,46.6,101.0,36.5
2016,77.3,77.8,45.5,53.3,67.7,115.5,70.0,46.2,39.1,57.0,57.3,26.5
2017,45.2,44.6,57.0,41.4,59.6,89.3,132.4,85.6,66.3,76.7,81.5,79.1
2018,101.7,17.8,50.9,37.7,52.0,47.4,40.0,42.0,44.2,28.4,20.2,104.1
2019,81.8,29.9,74.7,29.4,78.6,55.6,56.0,63.0,64.5,83.8,58.9,58.8
2020,40.5,124.1,50.9,16.3,38.4,90.9,51.8,85.5,50.0,78.4,20.7,57.5
2021,80.2,48.9,46.0,34.7,94.9,95.4,107.2,102.5,35.3,44.8,49.7,61.4
2022,58.2,83.7,15.0,56.5,47.0,56.2,37.8,48.9,100.0,49.7,48.9,67.1
2023,69.4,43.1,90.4,63.6,42.7,50.4,97.0,122.9,33.3,100.7,124.1,120.4
