price,carat,icol,icut,iclar,ishape,irep,ityp
4690,2.07,1,3,0,0,2,1
4790,1.01,4,4,0,0,0,0
2330,1.52,0,4,2,6,2,1
6380,1.4,1,2,4,8,0,0
1060,0.4,4,4,3,0,0,0
2980,0.71,3,2,3,0,0,0
720,0.33,1,4,3,0,0,0
1420,0.32,6,4,6,0,0,0
2510,1.09,4,3,4,3,2,1
1130,0.41,5,4,4,3,0,0
2120,1.51,0,3,0,4,2,1
6570,1.0,4,4,1,0,0,0
2270,1.11,3,4,3,3,2,1
800,0.3,5,3,5,0,0,0
1570,0.4,5,4,5,0,0,0
2010,1.0,5,3,1,9,2,1
1430,0.41,2,4,4,0,0,0
3390,1.51,2,3,3,0,2,1
1800,1.0,1,3,1,0,2,1
1740,1.1,1,3,3,0,2,1
340,0.3,6,3,1,0,2,1
1520,0.6,1,3,2,1,0,0
3200,1.54,3,2,1,8,2,1
1120,0.3,3,4,5,0,0,0
2020,0.5,5,2,4,0,0,0
4640,1.0,1,3,3,6,0,0
1540,0.5,1,4,2,0,0,0
810,0.5,1,1,2,3,0,0
3850,0.8,4,3,2,0,0,0
1050,0.32,6,4,3,0,0,0
2400,0.5,6,4,2,0,0,0
940,0.37,3,4,2,0,0,0
25510,4.02,5,3,2,1,3,1
610,0.58,2,2,3,4,2,1
5650,1.63,6,2,3,3,3,1
3170,0.7,3,2,3,0,0,0
940,0.3,4,2,6,0,0,0
3510,1.53,2,2,2,7,3,1
45340,5.33,6,2,4,7,2,1
2780,1.35,5,2,1,8,2,1
4380,1.01,2,4,1,2,0,0
550,0.31,1,4,2,0,0,0
1630,1.32,0,3,0,0,2,1
610,0.25,6,4,3,0,0,0
2270,0.59,5,4,1,0,0,0
1160,0.5,5,2,0,6,0,0
680,0.3,6,2,2,4,0,0
800,0.3,5,3,3,5,0,0
1700,1.19,0,3,4,0,2,1
2610,1.51,1,3,1,4,2,1
2330,1.03,5,3,2,0,2,1
2840,0.86,6,4,2,5,0,0
360,0.3,6,4,3,0,2,1
2090,0.7,5,2,3,1,0,0
520,0.51,1,3,5,4,2,1
1700,0.5,6,4,0,0,0,0
1440,0.46,2,4,5,0,0,0
4850,2.01,1,3,3,0,2,1
740,0.3,6,2,5,0,0,0
890,0.41,1,4,1,0,0,0
1190,0.72,5,4,3,0,2,1
4630,2.23,0,3,3,6,2,1
900,0.3,6,4,4,0,0,0
850,0.33,5,4,2,0,0,0
780,0.3,6,2,3,0,0,0
9010,2.4,4,2,2,7,3,1
34380,2.73,4,4,3,8,0,0
1370,0.41,5,4,2,0,0,0
7090,1.0,4,2,3,0,0,0
980,0.71,5,4,1,1,2,1
1050,0.4,2,4,4,0,0,0
1200,0.36,6,4,4,0,0,0
7490,1.01,6,4,3,6,0,0
1410,0.42,4,4,2,0,0,0
780,0.38,5,4,0,0,0,0
1850,0.59,4,3,3,6,0,0
1330,0.38,5,4,3,0,0,0
2250,0.5,6,4,3,0,0,0
3460,0.7,3,4,4,0,0,0
560,0.25,5,4,3,0,0,0
540,0.25,4,4,3,0,0,0
4200,2.02,0,3,3,6,2,1
1040,0.3,5,4,4,0,0,0
4700,1.01,6,4,2,7,0,0
750,0.3,5,4,1,0,0,0
490,0.5,2,2,2,4,2,1
580,0.53,5,3,0,0,2,1
4240,1.01,3,2,4,7,0,0
5760,1.0,1,4,3,0,0,0
360,0.32,5,2,4,7,2,1
1950,1.1,1,3,2,0,2,1
1950,1.21,1,3,3,0,2,1
3180,1.02,3,2,0,2,1,0
340,0.3,6,4,1,0,2,1
1390,1.1,2,3,0,0,1,1
410,0.32,6,3,4,0,2,1
600,0.3,5,3,4,6,0,0
1170,0.41,2,4,3,0,0,0
2490,0.57,3,4,6,0,0,0
910,0.31,6,4,5,0,0,0
1440,0.5,3,3,2,5,0,0
4860,2.22,0,3,3,6,2,1
6950,1.02,2,4,3,0,0,0
10930,1.84,2,3,2,8,0,0
2900,1.2,5,3,3,0,2,1
1790,1.02,4,4,0,0,2,1
440,0.38,6,4,2,0,2,1
1310,0.4,4,4,4,0,0,0
840,0.42,1,4,3,4,0,0
13620,2.44,6,0,5,9,2,1
